cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.957,3.967,3.984,-2,11,11.908,0,0,0.0,0.0
3.957,3.967,3.984,-2,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.956,3.968,3.984,-2,11,11.908,0,0,0.0,0.0
3.957,3.968,3.984,-2,11,11.909,0,0,80.0,0.0
3.955,3.969,3.983,-2,10,11.907,0,0,80.0,0.0
3.955,3.969,3.983,5,6,11.907,0,669,80.0,0.0
3.955,3.969,3.984,51,6,11.908,0,669,80.0,0.0
3.948,3.968,3.974,57,10,11.89,0,1992,80.0,0.0
3.933,3.951,3.958,130,14,11.842,0,3887,80.0,0.0
3.933,3.951,3.958,224,35,11.842,0,3887,80.0,0.0
3.907,3.925,3.934,308,77,11.766,0,5933,80.0,0.0
3.893,3.915,3.926,361,149,11.734,0,5933,80.0,0.0
3.893,3.915,3.926,342,222,11.734,334,7030,80.0,0.0
3.884,3.909,3.922,322,239,11.715,334,7030,80.0,0.0
3.88,3.905,3.915,315,235,11.7,664,7305,80.0,0.0
3.876,3.903,3.916,314,231,11.695,664,7305,80.0,0.0
3.876,3.903,3.916,314,229,11.695,1004,7028,80.0,0.0
3.873,3.902,3.916,313,225,11.691,1004,7028,80.0,0.0
3.872,3.902,3.907,313,222,11.681,996,7305,80.0,0.0
3.871,3.902,3.903,315,223,11.676,1156,6941,80.0,0.0
3.871,3.902,3.903,315,223,11.676,1156,6941,80.0,0.0
3.87,3.901,3.899,312,221,11.67,1444,7221,80.0,0.0
3.869,3.902,3.896,313,219,11.667,1444,7221,80.0,0.0
3.901,3.929,3.925,313,217,11.755,1475,6195,0.0,0.0
3.901,3.929,3.925,298,218,11.755,1475,6195,0.0,0.0
3.915,3.944,3.945,31,140,11.804,1533,1149,0.0,0.0
3.923,3.953,3.959,-269,39,11.835,1533,1149,0.0,0.0
3.923,3.953,3.959,-44,15,11.835,1339,669,0.0,0.0
3.929,3.958,3.965,-17,8,11.852,1339,669,0.0,0.0
3.932,3.961,3.971,-8,5,11.864,1328,332,0.0,0.0
3.933,3.964,3.974,-7,3,11.871,1328,332,0.0,0.0
3.933,3.964,3.974,-7,1,11.871,1004,334,0.0,0.0
3.935,3.966,3.974,-7,0,11.875,1004,334,0.0,0.0
3.936,3.965,3.976,-7,-1,11.877,664,332,0.0,0.0
3.937,3.966,3.975,-7,-2,11.878,550,0,0.0,0.0
3.937,3.966,3.975,-7,-3,11.878,550,0,0.0,0.0
3.937,3.966,3.976,-7,-3,11.879,745,0,0.0,0.0
3.937,3.967,3.975,-7,-4,11.879,745,0,0.0,0.0
3.937,3.967,3.975,-7,-4,11.879,669,334,0.0,0.0
3.939,3.969,3.972,-6,-5,11.88,669,334,0.0,0.0
3.94,3.968,3.973,-6,-5,11.881,664,0,0.0,0.0
3.94,3.968,3.972,-6,-5,11.88,664,0,0.0,0.0
3.94,3.968,3.972,-8,-5,11.88,334,0,0.0,0.0
